Model Name,Accuracy,Precision,Recall,F1 Score,ROC AUC,FNR=FPR Threshold,FNR@Threshold (%),FPR@Threshold (%),Inference Time
Logistic Regression, 0.661697247706422,0.64404869251578,0.6316604023877957,0.6377943966960599,0.7112830339065752,0.46346346346346345,33.473358390448816,33.55691457881239,0.2919886112213135
Random Forest, 0.7750208507089241,0.7716517344360211,0.7426486845014371,0.7568724650743578,0.8551480395219856,0.4804804804804805,22.81671456997568,22.371276385874925,0.573401927947998
NumPy CNN, 0.8017097581317765,0.7586343003749754,0.849878399292505,0.8016684045881126,0.8902362956096429,0.5545545545545546,19.76564227282777,19.668573683172223,78.51495742797852
PyTorch CNN, 0.8261050875729775,0.7995802728226653,0.8423612646473579,0.8204134366925064,0.9104722287659134,0.5295295295295295,17.311518903382712,17.261787334780035,0.4212465286254883
